query_id,subject_id,pct_id,ali_len,mism,gap_open,q_start,q_end,s_start,s_end,e_value,bitscore,q_len,s_len,s_gi,s_taxids,s_scinames,s_names,q_cov,s_description,cluster,tool,db
GB3LKKR01DOS1W,gi|935719420|emb|CEAZ01012945.1|,86.4,228.0,27.0,4.0,46.0,271.0,20508.0,20283.0,1e-61,246.0,272.0,144341.0,935719420.0,749906.0,,,83.0,"gut metagenome genome assembly P6C7-k21-2014-09-20, contig contig-11000025, whole genome shotgun sequence",1073,blastn,env_nt
GB3LKKR01DOS1W,gi|935719420|emb|CEAZ01012945.1|,86.4,228.0,27.0,4.0,46.0,271.0,107376.0,107151.0,1e-61,246.0,272.0,144341.0,935719420.0,749906.0,,,83.0,"gut metagenome genome assembly P6C7-k21-2014-09-20, contig contig-11000025, whole genome shotgun sequence",1073,blastn,env_nt
GB3LKKR01DOS1W,gi|935454047|emb|CEAX01018485.1|,86.4,228.0,27.0,4.0,46.0,271.0,12216.0,12441.0,1e-61,246.0,272.0,28297.0,935454047.0,749906.0,,,83.0,"gut metagenome genome assembly P6C90-k21-2014-09-20, contig contig-19000043, whole genome shotgun sequence",1073,blastn,env_nt
GB3LKKR01DOS1W,gi|935344953|emb|CEBY01021626.1|,86.4,228.0,27.0,4.0,46.0,271.0,74375.0,74150.0,1e-61,246.0,272.0,86997.0,935344953.0,749906.0,,,83.0,"gut metagenome genome assembly P6C0-k21-2014-09-20, contig contig-1000042, whole genome shotgun sequence",1073,blastn,env_nt
GB3LKKR01DOS1W,gi|935324036|emb|CEBY01034087.1|,86.4,228.0,27.0,4.0,46.0,271.0,12333.0,12558.0,1e-61,246.0,272.0,42116.0,935324036.0,749906.0,,,83.0,"gut metagenome genome assembly P6C0-k21-2014-09-20, contig contig-1000066, whole genome shotgun sequence",1073,blastn,env_nt
GB3LKKR01DOS1W,gi|932473752|emb|CDZI01021837.1|,83.33,270.0,38.0,7.0,4.0,271.0,11374.0,11638.0,1e-60,243.0,272.0,20579.0,932473752.0,749906.0,,,99.0,"gut metagenome genome assembly P19E90-k21-2014-09-20, contig contig-10000037, whole genome shotgun sequence",1073,blastn,env_nt
GB3LKKR01DOS1W,gi|934954591|emb|CEAA01028090.1|,82.96,270.0,39.0,7.0,4.0,271.0,72744.0,72480.0,6.999999999999998e-59,237.0,272.0,85872.0,934954591.0,749906.0,,,99.0,"gut metagenome genome assembly P25C90-k21-2014-09-20, contig contig-5000066, whole genome shotgun sequence",1073,blastn,env_nt
GB3LKKR01DOS1W,gi|933639471|emb|CECJ01006075.1|,82.59,270.0,40.0,7.0,4.0,271.0,49727.0,49463.0,2.9999999999999994e-57,231.0,272.0,58942.0,933639471.0,749906.0,,,99.0,"gut metagenome genome assembly P8C0-k21-2014-09-20, contig contig-92000028, whole genome shotgun sequence",1073,blastn,env_nt
GB3LKKR01DOS1W,gi|931928210|emb|CEAE01014816.1|,82.59,270.0,40.0,7.0,4.0,271.0,12351.0,12615.0,2.9999999999999994e-57,231.0,272.0,82188.0,931928210.0,749906.0,,,99.0,"gut metagenome genome assembly P8C7-k21-2014-09-20, contig contig-1864000056, whole genome shotgun sequence",1073,blastn,env_nt
GB3LKKR01DOS1W,gi|931928209|emb|CEAE01014817.1|,82.59,270.0,40.0,7.0,4.0,271.0,71396.0,71132.0,2.9999999999999994e-57,231.0,272.0,82634.0,931928209.0,749906.0,,,99.0,"gut metagenome genome assembly P8C7-k21-2014-09-20, contig contig-1865000056, whole genome shotgun sequence",1073,blastn,env_nt
