subject_id,s_accession,query_id,q_accession,e_value,bitscore,bias,best_dmn_e_value,best_dmn_bitscore,best_dmn_bias,dne_exp,dne_reg,dne_clu,dne_ov,dne_env,dne_dom,dne_rep,dne_inc,s_description,cluster,tool,db
gi|816591059|gb|KKL91504.1|,-,cluster1217,-,8.6e-15,63.2,0.0,1.9e-14,62.1,0.0,1.5,1,0,0,1,1,1,1,hypothetical protein LCGC14_1894030 [marine sediment metagenome],1217,hmmsearch,env_nr
gi|138620928|gb|ECA86303.1|,-,cluster1217,-,9.1e-13,56.7,0.1,2.3e-12,55.5,0.1,1.6,1,0,0,1,1,1,1,"hypothetical protein GOS_3182775, partial [marine metagenome]",1217,hmmsearch,env_nr
gi|141380444|gb|ECR42494.1|,-,cluster1217,-,4.4e-12,54.5,0.0,5.5e-12,54.2,0.0,1.1,1,0,0,1,1,1,1,"hypothetical protein GOS_5229309, partial [marine metagenome]",1217,hmmsearch,env_nr
gi|140145789|gb|ECJ82720.1|,-,cluster1217,-,6.199999999999999e-11,50.8,0.0,8.4e-11,50.4,0.0,1.1,1,0,0,1,1,1,1,"hypothetical protein GOS_6302003, partial [marine metagenome]",1217,hmmsearch,env_nr
gi|139603673|gb|ECG20775.1|,-,cluster1217,-,2.4e-09,45.8,0.0,4.4e-09,44.9,0.0,1.4,1,0,0,1,1,1,1,hypothetical protein GOS_3205514 [marine metagenome],1217,hmmsearch,env_nr
gi|140532272|gb|ECM13048.1|,-,cluster1217,-,8.3e-09,44.0,0.1,1.2e-08,43.5,0.1,1.2,1,0,0,1,1,1,1,"hypothetical protein GOS_4124646, partial [marine metagenome]",1217,hmmsearch,env_nr
gi|137806324|gb|EBW10295.1|,-,cluster1217,-,3.9e-08,41.9,0.0,6.900000000000001e-08,41.1,0.0,1.4,1,0,0,1,1,1,1,"hypothetical protein GOS_6800291, partial [marine metagenome]",1217,hmmsearch,env_nr
gi|141996664|gb|ECU70959.1|,-,cluster1217,-,4.3e-08,41.7,0.0,9.1e-08,40.7,0.0,1.5,1,0,0,1,1,1,1,"hypothetical protein GOS_3303980, partial [marine metagenome]",1217,hmmsearch,env_nr
gi|140253643|gb|ECK57504.1|,-,cluster1217,-,6.099999999999999e-08,41.2,0.0,9.400000000000001e-08,40.7,0.0,1.2,1,0,0,1,1,1,1,"hypothetical protein GOS_3329171, partial [marine metagenome]",1217,hmmsearch,env_nr
gi|141114976|gb|ECP72926.1|,-,cluster1217,-,1.9e-07,39.7,0.0,3.5e-07,38.8,0.0,1.4,1,0,0,1,1,1,1,"hypothetical protein GOS_4931447, partial [marine metagenome]",1217,hmmsearch,env_nr
gi|140931039|gb|ECO47358.1|,-,cluster1217,-,2.5e-06,36.1,0.0,4.2000000000000004e-06,35.4,0.0,1.3,1,0,0,1,1,1,1,"hypothetical protein GOS_5292187, partial [marine metagenome]",1217,hmmsearch,env_nr
GL0080651_MH0011_[Complete]_[mRNA]_locus=scaffold105791_3:12408:12962:+,-,cluster1073,-,2.6000000000000003e-44,156.7,30.9,2.6000000000000003e-44,156.7,30.9,2.6,2,1,0,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0144339_V1_[Complete]_[mRNA]_locus=scaffold33875_1:683:1243:+,-,cluster1073,-,2.7e-41,147.0,30.4,2.7e-41,147.0,30.4,3.0,3,1,1,4,4,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0053633_MH0019_[Complete]_[mRNA]_locus=scaffold49516_2:1739:2287:+,-,cluster1073,-,3.3e-41,146.8,30.1,3.3e-41,146.8,30.1,2.6,3,0,0,3,3,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0021209_O2_[Complete]_[mRNA]_locus=scaffold35240_2:41649:42176:+,-,cluster1073,-,2.3999999999999997e-38,137.6,26.2,2.3999999999999997e-38,137.6,26.2,3.1,3,1,0,3,3,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0135948_V1_[Complete]_[mRNA]_locus=scaffold56801_9:3685:4230:+,-,cluster1073,-,5e-38,136.6,30.1,5e-38,136.6,30.1,3.4,3,1,1,4,4,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0048856_V1_[Complete]_[mRNA]_locus=scaffold46210_2:1135:1698:+,-,cluster1073,-,7.6e-37,132.8,22.8,7.6e-37,132.8,22.8,3.9,3,1,1,4,4,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0095901_MH0064_[Complete]_[mRNA]_locus=scaffold9670_1:1303:1854:+,-,cluster1073,-,2.1e-36,131.4,21.8,2.1e-36,131.4,21.8,3.5,3,1,0,3,3,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0002458_MH0027_[Complete]_[mRNA]_locus=scaffold4934_2:331:888:-,-,cluster1073,-,3.5e-30,111.4,26.0,3.5e-30,111.4,26.0,2.8,2,1,0,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0169124_unmapped_[Lack_5'-end]_[mRNA]_locus=scaffold189309_2:2:394:+,-,cluster1073,-,1.0999999999999999e-25,97.0,26.0,1.0999999999999999e-25,97.0,26.0,1.5,1,1,1,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0095746_MH0052_[Complete]_[mRNA]_locus=scaffold69258_1:150:734:-,-,cluster1073,-,1e-09,45.8,14.1,1e-09,45.8,14.1,3.2,1,1,2,3,3,2,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0069879_MH0068_[Complete]_[mRNA]_locus=scaffold29877_1:106:648:-,-,cluster1073,-,5.2e-09,43.6,11.4,5.2e-09,43.6,11.4,2.5,1,1,1,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0104747_V1_[Complete]_[mRNA]_locus=scaffold46577_3:7149:7700:-,-,cluster1073,-,5.7e-09,43.5,11.5,5.7e-09,43.5,11.5,2.8,1,1,0,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0127504_MH0042_[Lack_5'-end]_[mRNA]_locus=scaffold111638_1:1:567:+,-,cluster1073,-,6.9e-09,43.2,11.3,6.9e-09,43.2,11.3,3.1,1,1,1,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0067197_MH0062_[Complete]_[mRNA]_locus=scaffold23871_1:1618:2160:+,-,cluster1073,-,8.199999999999999e-09,43.0,10.9,8.199999999999999e-09,43.0,10.9,2.5,1,1,1,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0198187_MH0012_[Complete]_[mRNA]_locus=scaffold161914_3:268:831:+,-,cluster1073,-,8.3e-09,42.9,11.5,8.3e-09,42.9,11.5,3.1,1,1,0,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0035799_V1_[Complete]_[mRNA]_locus=scaffold77653_2:1728:2297:-,-,cluster1073,-,9.1e-09,42.8,11.0,9.1e-09,42.8,11.0,3.0,1,1,1,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
