query_id,pct_id,q_cov
d9539_asm_v1.2_1,92.59299999999999,100
d9539_asm_v1.2_3,90.323,86
d9539_asm_v1.2_5,91.37899999999999,100
d9539_asm_v1.2_11,91.449,100
d9539_asm_v1.2_14,83.704,78
d9539_asm_v1.2_16,82.85700000000001,100
d9539_asm_v1.2_22,90.831,97
d9539_asm_v1.2_29,93.354,100
d9539_asm_v1.2_30,98.969,100
